,time (s),eps_s_n_0 (mols/m^3),eps_s_n_n_s (mols/m^3)
0,0.0,0.3,0.3
1,1.0,0.3,0.3
2,2.0,0.3,0.3
3,3.0,0.3,0.3
4,4.0,0.3,0.3
5,5.0,0.3,0.3
6,6.0,0.3,0.3
7,7.0,0.3,0.3
8,8.0,0.3,0.3
9,9.0,0.3,0.3
10,10.0,0.3,0.3
11,11.0,0.3,0.3
12,12.0,0.3,0.3
13,13.0,0.3,0.3
14,14.0,0.3,0.3
15,15.0,0.3,0.3
16,16.0,0.3,0.3
17,17.0,0.3,0.3
18,18.0,0.3,0.3
19,19.0,0.3,0.3
20,20.0,0.3,0.3
21,21.0,0.3,0.3
22,22.0,0.3,0.3
23,23.0,0.3,0.3
24,24.0,0.3,0.3
25,25.0,0.3,0.3
26,26.0,0.3,0.3
27,27.0,0.3,0.3
28,28.0,0.3,0.3
29,29.0,0.3,0.3
30,30.0,0.3,0.3
31,31.0,0.3,0.3
32,32.0,0.3,0.3
33,33.0,0.3,0.3
34,34.0,0.3,0.3
35,35.0,0.3,0.3
36,36.0,0.3,0.3
37,37.0,0.3,0.3
38,38.0,0.3,0.3
39,39.0,0.3,0.3
40,40.0,0.3,0.3
41,41.0,0.3,0.3
42,42.0,0.3,0.3
43,43.0,0.3,0.3
44,44.0,0.3,0.3
45,45.0,0.3,0.3
46,46.0,0.3,0.3
47,47.0,0.3,0.3
48,48.0,0.3,0.3
49,49.0,0.3,0.3
50,50.0,0.3,0.3
51,51.0,0.3,0.3
52,52.0,0.3,0.3
53,53.0,0.3,0.3
54,54.0,0.3,0.3
55,55.0,0.29999999999999993,0.3
56,56.0,0.29999999999999993,0.3
57,57.0,0.29999999999999993,0.3
58,58.0,0.29999999999999993,0.3
59,59.0,0.2999999999999999,0.3
60,60.0,0.2999999999999999,0.3
61,61.0,0.2999999999999999,0.3
62,62.0,0.2999999999999999,0.3
63,63.0,0.2999999999999999,0.3
64,64.0,0.2999999999999999,0.3
65,65.0,0.2999999999999999,0.3
66,66.0,0.2999999999999999,0.3
67,67.0,0.2999999999999999,0.3
68,68.0,0.2999999999999999,0.3
69,69.0,0.2999999999999999,0.3
70,70.0,0.2999999999999999,0.3
71,71.0,0.2999999999999999,0.3
72,72.0,0.2999999999999998,0.3
73,73.0,0.2999999999999998,0.3
74,74.0,0.2999999999999998,0.3
75,75.0,0.29999999999999977,0.3
76,76.0,0.29999999999999977,0.3
77,77.0,0.29999999999999977,0.3
78,78.0,0.29999999999999977,0.3
79,79.0,0.29999999999999977,0.3
80,80.0,0.29999999999999977,0.3
81,81.0,0.29999999999999977,0.3
82,82.0,0.29999999999999977,0.3
83,83.0,0.29999999999999977,0.3
84,84.0,0.29999999999999977,0.3
85,85.0,0.29999999999999977,0.3
86,86.0,0.29999999999999977,0.3
87,87.0,0.29999999999999977,0.3
88,88.0,0.29999999999999977,0.3
89,89.0,0.29999999999999977,0.3
90,90.0,0.29999999999999977,0.3
91,91.0,0.29999999999999977,0.3
92,92.0,0.29999999999999977,0.3
93,93.0,0.29999999999999977,0.3
94,94.0,0.29999999999999977,0.3
95,95.0,0.29999999999999977,0.3
96,96.0,0.29999999999999977,0.3
97,97.0,0.29999999999999977,0.3
98,98.0,0.29999999999999977,0.3
99,99.0,0.29999999999999977,0.3
100,100.0,0.29999999999999977,0.3
101,101.0,0.29999999999999977,0.3
102,102.0,0.29999999999999977,0.3
103,103.0,0.29999999999999977,0.3
104,104.0,0.29999999999999977,0.3
105,105.0,0.29999999999999977,0.3
106,106.0,0.29999999999999977,0.3
107,107.0,0.29999999999999977,0.3
108,108.0,0.29999999999999977,0.3
109,109.0,0.29999999999999977,0.3
110,110.0,0.29999999999999977,0.3
111,111.0,0.29999999999999977,0.3
112,112.0,0.29999999999999977,0.3
113,113.0,0.29999999999999977,0.3
114,114.0,0.29999999999999977,0.3
115,115.0,0.29999999999999977,0.3
116,116.0,0.29999999999999977,0.3
117,117.0,0.2999999999999998,0.3
118,118.0,0.2999999999999998,0.3
119,119.0,0.2999999999999998,0.3
120,120.0,0.2999999999999998,0.3
121,121.0,0.2999999999999998,0.3
122,122.0,0.2999999999999998,0.3
123,123.0,0.2999999999999998,0.3
124,124.0,0.2999999999999998,0.3
125,125.0,0.2999999999999999,0.3
126,126.0,0.2999999999999999,0.3
127,127.0,0.2999999999999999,0.3
128,128.0,0.2999999999999999,0.3
129,129.0,0.2999999999999999,0.3
130,130.0,0.2999999999999999,0.3
131,131.0,0.2999999999999999,0.3
132,132.0,0.2999999999999999,0.3
133,133.0,0.2999999999999999,0.3
134,134.0,0.2999999999999999,0.3
135,135.0,0.2999999999999999,0.3
136,136.0,0.2999999999999999,0.3
137,137.0,0.2999999999999999,0.3
138,138.0,0.2999999999999999,0.3
139,139.0,0.2999999999999999,0.3
140,140.0,0.2999999999999999,0.3
141,141.0,0.2999999999999999,0.3
142,142.0,0.2999999999999999,0.3
143,143.0,0.2999999999999999,0.3
144,144.0,0.2999999999999999,0.3
145,145.0,0.2999999999999999,0.3
146,146.0,0.2999999999999999,0.3
147,147.0,0.2999999999999999,0.3
148,148.0,0.2999999999999999,0.3
149,149.0,0.2999999999999999,0.3
150,150.0,0.2999999999999999,0.3
151,151.0,0.2999999999999999,0.3
152,152.0,0.2999999999999999,0.3
153,153.0,0.2999999999999999,0.3
154,154.0,0.2999999999999999,0.3
155,155.0,0.2999999999999999,0.3
156,156.0,0.2999999999999999,0.3
157,157.0,0.2999999999999999,0.3
158,158.0,0.2999999999999999,0.3
159,159.0,0.2999999999999999,0.3
160,160.0,0.2999999999999999,0.3
161,161.0,0.2999999999999999,0.3
162,162.0,0.2999999999999999,0.3
163,163.0,0.2999999999999999,0.3
164,164.0,0.2999999999999999,0.3
165,165.0,0.2999999999999999,0.3
166,166.0,0.2999999999999999,0.3
167,167.0,0.2999999999999999,0.3
168,168.0,0.2999999999999999,0.3
169,169.0,0.2999999999999999,0.3
170,170.0,0.2999999999999999,0.3
171,171.0,0.2999999999999999,0.3
172,172.0,0.2999999999999999,0.3
173,173.0,0.2999999999999999,0.3
174,174.0,0.2999999999999999,0.3
175,175.0,0.2999999999999999,0.3
176,176.0,0.2999999999999999,0.3
177,177.0,0.2999999999999999,0.3
178,178.0,0.2999999999999999,0.3
179,179.0,0.2999999999999999,0.3
180,180.0,0.2999999999999999,0.3
181,181.0,0.2999999999999999,0.3
182,182.0,0.2999999999999999,0.3
183,183.0,0.2999999999999999,0.3
184,184.0,0.2999999999999999,0.3
185,185.0,0.2999999999999999,0.3
186,186.0,0.2999999999999999,0.3
187,187.0,0.2999999999999999,0.3
